Designator,Footprint,Quantity,Value,LCSC Part #
C1,1206,1,0.47uF,
C2,1206,1,22uF,
"C3, C5, C7",1206,3,0.1uF,
"C8, C9",CP_Radial_D5.0mm_P2.00mm,2,47uF,
D1,1206,1,GREEN,
F1,1206,1,Fuse_Small,
J1,AMASS_XT30U-M_1x02_P5.0mm_Vertical,1,Conn_01x02,
"J2, J3",JST_VH_B2P-VH_1x02_P3.96mm_Vertical,2,Conn_01x02,
J4,PinSocket_1x03_P2.54mm_Vertical,1,Conn_01x03_Socket,
"J5, J6, J8",PinHeader_1x10_P2.54mm_Vertical,3,Conn_01x10_Pin,
"R1, R2",1206,2,30k,
"R3, R4",1206,2,100K,
R5,1206,1,220,
SW1,SW2_GF-123-0054_CWI,1,SW_SPST,
SW2,DS04-254-2-02BK-SMT_CUD,1,SW_DIP_x02,
TP1,TestPoint_Keystone_5000-5004_Miniature,1,12V Test Point,
TP2,TestPoint_Keystone_5000-5004_Miniature,1,5V Test Point,
TP3,TestPoint_Keystone_5000-5004_Miniature,1,GND Test Point,
U1,DCY0004A_N,1,LM2940IMPX-5.0/NOPB,
U2,MODULE_NUCLEO-F042K6,1,NUCLEO-F042K6,
"U3, U4",Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias,2,DRV8871DDA,
