Designator,Mid X,Mid Y,Rotation,Layer
C1,185.635,-84.711,0.0,top
C2,185.635,-94.511,0.0,top
C3,117.51,-75.211,180.0,top
C5,117.754888,-100.401056,180.0,top
C7,180.46,-100.796222,180.0,top
C8,180.515112,-96.696222,180.0,top
C9,117.81,-96.301056,180.0,top
D1,113.9,-69.6,90.0,top
F1,118.7,-69.6,90.0,top
J1,106.8,-78.2,0.0,top
J2,114.435,-89.0885,90.0,top
J3,178.029888,-89.523556,270.0,top
J4,126.76,-102.0,270.0,top
J5,153.46,-77.411,90.0,top
J6,153.46,-73.686,90.0,top
J8,153.43,-69.911,90.0,top
R1,112.054888,-103.401056,180.0,top
R2,174.7,-103.7,180.0,top
R3,134.625,-101.5,180.0,top
R4,134.625,-103.9,180.0,top
R5,116.3,-69.6,90.0,top
SW1,126.7087,-73.911,90.0,top
SW2,143.01,-102.77,180.0,top
TP1,180.193,-70.6,0.0,top
TP2,175.193,-70.6,0.0,top
TP3,185.193,-70.6,0.0,top
U1,187.734999,-89.611,0.0,top
U2,144.582,-89.491,270.0,top
U3,112.059888,-97.876056,90.0,top
U4,174.765,-98.271222,90.0,top
